ISSN	TÌtulo	Estrato
1526-3711	JOURNAL OF CONTEMPORARY DENTAL PRACTICE	B2
2195-3899	JOURNAL OF CONTROL, AUTOMATION AND ELECTRICAL SYSTEMS	A4
2195-3880	JOURNAL OF CONTROL, AUTOMATION AND ELECTRICAL SYSTEMS (IMPRESSO)	A4
1687-5249	JOURNAL OF CONTROL SCIENCE AND ENGINEERING (PRINT)	B1
2233-9299	JOURNAL OF CONVERGENCE INFORMATION TECHNOLOGY	B3
1975-9320	JOURNAL OF CONVERGENCE INFORMATION TECHNOLOGY (GYEONGJU)	B3
1476-4172	JOURNAL OF COSMETIC AND LASER THERAPY (PRINT)	A4
1473-2130	JOURNAL OF COSMETIC DERMATOLOGY (PRINT)	B1
1010-5182	JOURNAL OF CRANIO-MAXILLO-FACIAL SURGERY	A2
2190-8508	JOURNAL OF CRYPTOGRAPHIC ENGINEERING	A3
0022-0248	JOURNAL OF CRYSTAL GROWTH	A3
0022-0302	JOURNAL OF DAIRY SCIENCE	A1
1930-7837	JOURNAL OF DENTAL EDUCATION	A3
0022-0345	JOURNAL OF DENTAL RESEARCH (PRINT)	A1
0923-1811	JOURNAL OF DERMATOLOGICAL SCIENCE (AMSTERDAM)	A1
2314-6745	JOURNAL OF DIABETES RESEARCH	A3
0022-0396	JOURNAL OF DIFFERENTIAL EQUATIONS (PRINT)	A2
0897-1889	JOURNAL OF DIGITAL IMAGING	A2
2184-3120	JOURNAL OF DIGITAL MEDIA AND INTERACTION	B3
0022-0434	JOURNAL OF DYNAMIC SYSTEMS, MEASUREMENT, AND CONTROL	A3
1176-3647	JOURNAL OF EDUCATIONAL TECHNOLOGY & SOCIETY	A1
0374-3535	JOURNAL OF ELASTICITY	A3
2090-0147	JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING	B1
1891-5469	JOURNAL OF ELECTRICAL BIOIMPEDANCE	B1
2328-2223	JOURNAL OF ELECTRICAL ENGINEERING	C
1339-309X	JOURNAL OF ELECTRICAL ENGINEERING (ONLINE)	B1
1572-6657	JOURNAL OF ELECTROANALYTICAL CHEMISTRY	A2
0022-0736	JOURNAL OF ELECTROCARDIOLOGY (PRINT)	B3
1942-0749	JOURNAL OF ELECTROMAGNETIC ANALYSIS AND APPLICATIONS	C
0920-5071	JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS (PRINT)	A4
1050-6411	JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY	A4
1017-9909	JOURNAL OF ELECTRONIC IMAGING	A4
0361-5235	JOURNAL OF ELECTRONIC MATERIALS	A3
0923-8174	JOURNAL OF ELECTRONIC TESTING	A4
1573-0727	JOURNAL OF ELECTRONIC TESTING (DORDRECHT. ONLINE)	A4
0304-3886	JOURNAL OF ELECTROSTATICS	A3
0022-0795	JOURNAL OF ENDOCRINOLOGY	A1
2310-9971	JOURNAL OF ENDOCRINOLOGY AND DIABETES MELLITUS	B4
1934-8975	JOURNAL OF ENERGY AND POWER ENGINEERING	C
2095-4956	JOURNAL OF ENERGY CHEMISTRY	A2
0733-9402	JOURNAL OF ENERGY ENGINEERING	A3
2352-152X	JOURNAL OF ENERGY STORAGE	A2
2447-0228	JOURNAL OF ENGINEERING AND TECHNOLOGY FOR INDUSTRIAL APPLICATIONS	C
0022-0833	JOURNAL OF ENGINEERING MATHEMATICS	A2
1823-4690	JOURNAL OF ENGINEERING SCIENCE & TECHNOLOGY	B1
2312-2498	JOURNAL OF ENGINEERING SCIENCES	C
2213-3437	JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING	A2
0301-4797	JOURNAL OF ENVIRONMENTAL MANAGEMENT	A1
1475-6366	JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY (PRINT)	A1
1097-9751	JOURNAL OF EXERCISE PHYSIOLOGY ONLINE	B2
1728-869X	JOURNAL OF EXERCISE SCIENCE AND FITNESS	A4
1557-5063	JOURNAL OF EXOTIC PET MEDICINE	B1
0022-0949	JOURNAL OF EXPERIMENTAL BIOLOGY	A1
1547-7029	JOURNAL OF FAILURE ANALYSIS AND PREVENTION	B1
1556-4959	JOURNAL OF FIELD ROBOTICS	A1
0260-8774	JOURNAL OF FOOD ENGINEERING	A1
2193-4126	JOURNAL OF FOOD MEASUREMENT AND CHARACTERIZATION	A4
2470-1076	JOURNAL OF FOOD SCIENCE & NUTRITION	C
2157-7145	JOURNAL OF FORENSIC RESEARCH	C
2079-4983	JOURNAL OF FUNCTIONAL BIOMATERIALS	A3
2309-608X	JOURNAL OF FUNGI	A2
0164-0313	JOURNAL OF FUSION ENERGY	A4
0022-1317	JOURNAL OF GENERAL VIROLOGY (PRINT)	A2
0949-7714	JOURNAL OF GEODESY (PRINT)	A1
0148-0227	JOURNAL OF GEOPHYSICAL RESEARCH	A1
2169-897X	JOURNAL OF GEOPHYSICAL RESEARCH: ATMOSPHERES (IMPRESSO)	A1
2169-9380	JOURNAL OF GEOPHYSICAL RESEARCH: SPACE PHYSICS	A2
2169-9402	JOURNAL OF GEOPHYSICAL RESEARCH: SPACE PHYSICS (ON LINE)	A2
2526-1746	JOURNAL OF GEOSPATIAL MODELLING	B4
0925-5001	JOURNAL OF GLOBAL OPTIMIZATION	A2
1570-7873	JOURNAL OF GRID COMPUTING	A1
0731-5090	JOURNAL OF GUIDANCE, CONTROL, AND DYNAMICS (PRINT)	A1
0304-3894	JOURNAL OF HAZARDOUS MATERIALS (PRINT)	A1
2175-4411	JOURNAL OF HEALTH INFORMATICS	A4
2040-2295	JOURNAL OF HEALTHCARE ENGINEERING	A3
1381-1231	JOURNAL OF HEURISTICS	A3
1572-9397	JOURNAL OF HEURISTICS (DORDRECHT. ONLINE)	A3
1899-7562	JOURNAL OF HUMAN KINETICS	A3
1640-5544	JOURNAL OF HUMAN KINETICS	A3
0022-1694	JOURNAL OF HYDROLOGY (AMSTERDAM)	A1
2178-7107	JOURNAL OF INFORMATION AND DATA MANAGEMENT - JIDM	B1
2214-2126	JOURNAL OF INFORMATION SECURITY AND APPLICATIONS	A3
2468-2071	JOURNAL OF INFORMATION SYSTEMS ENGINEERING & MANAGEMENT	B1
2468-4376	JOURNAL OF INFORMATION SYSTEMS ENGINEERING & MANAGEMENT	B1
1938-7857	JOURNAL OF INFORMATION TECHNOLOGY RESEARCH	B2
1532-4516	JOURNAL OF INFORMATION TECHNOLOGY THEORY AND APPLICATION	C
1866-6906	JOURNAL OF INFRARED, MILLIMETER AND TERAHERTZ WAVES	A2
1866-6892	JOURNAL OF INFRARED, MILLIMETER, AND TERAHERTZ WAVES (PRINT)	A2
1662-811X	JOURNAL OF INNATE IMMUNITY	A2
1574-1443	JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS AND MATERIALS (PRINT)	A3
0162-0134	JOURNAL OF INORGANIC BIOCHEMISTRY	A2
1748-0221	JOURNAL OF INSTRUMENTATION	A3
1872-0234	JOURNAL OF INTEGRATED CIRCUITS AND SYSTEMS	A4
1064-1246	JOURNAL OF INTELLIGENT & FUZZY SYSTEMS	A2
0921-0296	JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS	A2
1573-0409	JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS (DORDRECHT. ONLINE)	A2
1573-7675	JOURNAL OF INTELLIGENT INFORMATION SYSTEMS (DORDRECHT. ONLINE)	A3
1045-389X	JOURNAL OF INTELLIGENT MATERIAL SYSTEMS AND STRUCTURES (PRINT)	A2
0976-7428	JOURNAL OF INTERNATIONAL ORAL HEALTH	B2
1867-4828	JOURNAL OF INTERNET SERVICES AND APPLICATIONS	A2
1869-0238	JOURNAL OF INTERNET SERVICES AND APPLICATIONS	A2
0022-2011	JOURNAL OF INVERTEBRATE PATHOLOGY (PRINT)	A2
2041-1626	JOURNAL OF INVESTIGATIVE AND CLINICAL DENTISTRY (ONLINE)	A2
2228-6721	JOURNAL OF LASERS IN MEDICAL SCIENCES	A3
1934-7391	JOURNAL OF LIFE SCIENCES	B2
1934-7405	JOURNAL OF LIFE SCIENCES	B2
0733-8724	JOURNAL OF LIGHTWAVE TECHNOLOGY (PRINT)	A1
0955-792X	JOURNAL OF LOGIC AND COMPUTATION (PRINT)	A1
1461-3484	JOURNAL OF LOW FREQUENCY NOISE, VIBRATION AND ACTIVE CONTROL	A4
2079-9268	JOURNAL OF LOW POWER ELECTRONICS AND APPLICATIONS	B1
1546-1998	JOURNAL OF LOW POWER ELECTRONICS (PRINT)	B3
0022-2313	JOURNAL OF LUMINESCENCE	A2
1053-1807	JOURNAL OF MAGNETIC RESONANCE IMAGING (PRINT)	A1
0304-8853	JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS	A2
1526-6125	JOURNAL OF MANUFACTURING PROCESSES	A2
1087-1357	JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING	A2
1755-5817	JOURNAL OF MANUFACTURING SCIENCE AND TECHNOLOGY	A1
0278-6125	JOURNAL OF MANUFACTURING SYSTEMS	A1
0948-4280	JOURNAL OF MARINE SCIENCE AND TECHNOLOGY (PRINT)	A3
0022-2437	JOURNAL OF MARKETING RESEARCH	A3
2050-7488	JOURNAL OF MATERIALS CHEMISTRY A	A1
2050-7526	JOURNAL OF MATERIALS CHEMISTRY C	A1
0738-7989	JOURNAL OF MATERIALS EDUCATION	B4
1059-9495	JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE (PRINT)	A3
0924-0136	JOURNAL OF MATERIALS PROCESSING TECHNOLOGY	A1
0884-2914	JOURNAL OF MATERIALS RESEARCH	A2
2238-7854	JOURNAL OF MATERIALS RESEARCH AND TECHNOLOGY	A1
0022-2461	JOURNAL OF MATERIALS SCIENCE	A1
1573-4803	JOURNAL OF MATERIALS SCIENCE (DORDRECHT. ONLINE)	A1
0957-4522	JOURNAL OF MATERIALS SCIENCE. MATERIALS IN ELECTRONICS	A3
0957-4530	JOURNAL OF MATERIALS SCIENCE. MATERIALS IN MEDICINE	A2
0259-9791	JOURNAL OF MATHEMATICAL CHEMISTRY	A4
1862-2984	JOURNAL OF MATHEMATICAL CRYPTOLOGY (ONLINE)	B2
2456-219X	JOURNAL OF MECHANICAL ENGINEERING AND BIOMECHANICS	B4
2595-3230	JOURNAL OF MECHATRONICS ENGINEERING	C
1609-0985	JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING	A4
0309-1902	JOURNAL OF MEDICAL ENGINEERING & TECHNOLOGY	B1
2329-4302	JOURNAL OF MEDICAL IMAGING	A3
2156-7018	JOURNAL OF MEDICAL IMAGING AND HEALTH INFORMATICS	C
1754-9477	JOURNAL OF MEDICAL IMAGING AND RADIATION ONCOLOGY	B2
0148-5598	JOURNAL OF MEDICAL SYSTEMS	A2
0022-2623	JOURNAL OF MEDICINAL CHEMISTRY	A1
0167-7012	JOURNAL OF MICROBIOLOGICAL METHODS	B1
1057-7157	JOURNAL OF MICROELECTROMECHANICAL SYSTEMS	A2
1516-7399	JOURNAL OF MICROWAVES AND OPTOELECTRONICS	A4
2179-1074	JOURNAL OF MICROWAVES, OPTOELECTRONICS AND ELECTROMAGNETIC APPLICATIONS	A4
2308-8044	JOURNAL OF MODERN MEDICINAL CHEMISTRY	B4
0950-0340	JOURNAL OF MODERN OPTICS (PRINT)	A4
2196-5420	JOURNAL OF MODERN POWER SYSTEMS AND CLEAN ENERGY	A2
2196-5625	JOURNAL OF MODERN POWER SYSTEMS AND CLEAN ENERGY	A2
2095-087X	JOURNAL OF MODERN TRANSPORTATION	A4
0022-2828	JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY	A1
1093-3263	JOURNAL OF MOLECULAR GRAPHICS & MODELLING	A3
0167-7322	JOURNAL OF MOLECULAR LIQUIDS (PRINT)	A1
0948-5023	JOURNAL OF MOLECULAR MODELING (ONLINE)	A4
1610-2940	JOURNAL OF MOLECULAR MODELING (PRINT)	A4
0022-2860	JOURNAL OF MOLECULAR STRUCTURE (PRINT)	A3
2005-940X	JOURNAL OF MOVEMENT DISORDERS	C
2458-9403	JOURNAL OF MULTIDISCIPLINARY ENGINEERING SCIENCE AND TECHNOLOGY	C
1178-2390	JOURNAL OF MULTIDISCIPLINARY HEALTHCARE	A3
1542-3980	JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING	A3
1477-3155	JOURNAL OF NANOBIOTECHNOLOGY	A1
1555-130X	JOURNAL OF NANOELECTRONICS AND OPTOELECTRONICS	C
1687-4110	JOURNAL OF NANOMATERIALS (PRINT)	A4
1388-0764	JOURNAL OF NANOPARTICLE RESEARCH	A2
1934-2608	JOURNAL OF NANOPHOTONICS	B1
1533-4880	JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY	B2
2577-7920	JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY APPLICATIONS	C
1544-0478	JOURNAL OF NATURAL FIBERS	A1
0373-4633	JOURNAL OF NAVIGATION (PRINT)	A2
1084-8045	JOURNAL OF NETWORK AND COMPUTER APPLICATIONS	A1
1064-7570	JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT	A2
1741-2560	JOURNAL OF NEURAL ENGINEERING (PRINT)	A1
1743-0003	JOURNAL OF NEUROENGINEERING AND REHABILITATION	A1
1552-6569	JOURNAL OF NEUROIMAGING (ONLINE)	A3
0165-5728	JOURNAL OF NEUROIMMUNOLOGY (PRINT)	A2
1759-8486	JOURNAL OF NEUROINTERVENTIONAL SURGERY	A1
2373-6410	JOURNAL OF NEUROLOGY & STROKE	C
0022-3077	JOURNAL OF NEUROPHYSIOLOGY	A4
0165-0270	JOURNAL OF NEUROSCIENCE METHODS	A4
0360-4012	JOURNAL OF NEUROSCIENCE RESEARCH	A2
0022-3093	JOURNAL OF NON-CRYSTALLINE SOLIDS	A1
0195-9298	JOURNAL OF NONDESTRUCTIVE EVALUATION	A3
0218-8635	JOURNAL OF NONLINEAR OPTICAL PHYSICS AND MATERIALS	A4
0938-8974	JOURNAL OF NONLINEAR SCIENCE	A2
2325-9809	JOURNAL OF NUCLEAR ENERGY SCIENCE & POWER GENERATION TECHNOLOGY	C
0955-2863	JOURNAL OF NUTRITIONAL BIOCHEMISTRY	A1
0282-423X	JOURNAL OF OFFICIAL STATISTICS	A4
2001-7367	JOURNAL OF OFFICIAL STATISTICS (ONLINE)	A4
0892-7219	JOURNAL OF OFFSHORE MECHANICS AND ARCTIC ENGINEERING	A4
0173-4911	JOURNAL OF OPTICAL COMMUNICATIONS	B2
1943-0620	JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING (PRINT)	A1
2040-8978	JOURNAL OF OPTICS	A2
1464-4258	JOURNAL OF OPTICS. A, PURE AND APPLIED OPTICS (PRINT)	A2
0022-3239	JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS	A2
0904-2512	JOURNAL OF ORAL PATHOLOGY & MEDICINE	A1
0305-182X	JOURNAL OF ORAL REHABILITATION (PRINT)	A2
0022-3263	JOURNAL OF ORGANIC CHEMISTRY	A1
0743-7315	JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING (PRINT)	A2
0920-4105	JOURNAL OF PETROLEUM SCIENCE & ENGINEERING	A1
1939-8042	JOURNAL OF PHARMACEUTICAL INNOVATION	A4
2042-7158	JOURNAL OF PHARMACY AND PHARMACOLOGY	A3
2328-2150	JOURNAL OF PHARMACY AND PHARMACOLOGY	C
0095-4470	JOURNAL OF PHONETICS	A1
1011-1344	JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY. B, BIOLOGY	A1
1543-3080	JOURNAL OF PHYSICAL ACTIVITY & HEALTH	A2
1932-7447	JOURNAL OF PHYSICAL CHEMISTRY. C	A1
1932-7455	JOURNAL OF PHYSICAL CHEMISTRY. C. (ONLINE)	A1
2247-8051	JOURNAL OF PHYSICAL EDUCATION AND SPORT	A4
2448-2455	JOURNAL OF PHYSICAL EDUCATION (ONLINE)	B1
2577-2945	JOURNAL OF PHYSICAL FITNESS, MEDICINE & TREATMENT IN SPORTS	B3
0915-5287	JOURNAL OF PHYSICAL THERAPY SCIENCE	C
1751-8113	JOURNAL OF PHYSICS. A, MATHEMATICAL AND THEORETICAL (PRINT)	A2
0022-3697	JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS	A2
2582-3361	JOURNAL OF PHYSICS AND CHEMISTRY RESEARCH	C
0953-8984	JOURNAL OF PHYSICS. CONDENSED MATTER (PRINT)	A3
0022-3727	JOURNAL OF PHYSICS. D, APPLIED PHYSICS (PRINT)	A2
0022-3751	JOURNAL OF PHYSIOLOGY (LONDON. PRINT)	A1
1022-9760	JOURNAL OF POLYMER RESEARCH	A3
1380-2224	JOURNAL OF POROUS MATERIALS	A2
2327-5901	JOURNAL OF POWER AND ENERGY ENGINEERING	C
0378-7753	JOURNAL OF POWER SOURCES (PRINT)	A1
0959-1524	JOURNAL OF PROCESS CONTROL	A1
2595-9573	JOURNAL OF PRODUCTION AND AUTOMATION	C
1097-6841	JOURNAL OF PROSTHETIC DENTISTRY	A1
1059-941X	JOURNAL OF PROSTHODONTICS (PRINT)	A2
1874-3919	JOURNAL OF PROTEOMICS (PRINT)	A1
0022-3956	JOURNAL OF PSYCHIATRIC RESEARCH	A2
2313-1047	JOURNAL OF PSYCHOLOGY AND PSYCHOTHERAPY RESEARCH (ONLINE)	B4
0269-8811	JOURNAL OF PSYCHOPHARMACOLOGY (OXFORD)	A1
0022-3999	JOURNAL OF PSYCHOSOMATIC RESEARCH	A2
2279-9036	JOURNAL OF PUBLIC HEALTH RESEARCH (ONLINE)	B1
1559-0410	JOURNAL OF QUANTITATIVE ANALYSIS IN SPORTS	A4
0022-4073	JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER	A2
0377-0486	JOURNAL OF RAMAN SPECTROSCOPY	A3
1097-4555	JOURNAL OF RAMAN SPECTROSCOPY (ONLINE)	A3
1861-8200	JOURNAL OF REAL-TIME IMAGE PROCESSING (PRINT)	A3
1650-1977	JOURNAL OF REHABILITATION MEDICINE (PRINT)	A2
2199-4676	JOURNAL OF RELIABLE INTELLIGENT ENVIRONMENTS	A3
1941-7012	JOURNAL OF RENEWABLE AND SUSTAINABLE ENERGY	A4
0963-0651	JOURNAL OF SEISMIC EXPLORATION	A3
2224-2708	JOURNAL OF SENSOR AND ACTUATOR NETWORKS	A3
1687-725X	JOURNAL OF SENSORS	A3
1939-8018	JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL, IMAGE, AND VIDEO TECHNOLOGY	A4
2321-3809	JOURNAL OF SOFTWARE ENGINEERING AND SIMULATION	B3
2195-1721	JOURNAL OF SOFTWARE ENGINEERING RESEARCH AND DEVELOPMENT	A4
0199-6231	JOURNAL OF SOLAR ENERGY ENGINEERING	A4
0928-0707	JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY	A3
0022-4596	JOURNAL OF SOLID STATE CHEMISTRY (PRINT)	A2
1432-8488	JOURNAL OF SOLID STATE ELECTROCHEMISTRY (PRINT)	A3
0022-460X	JOURNAL OF SOUND AND VIBRATION	A1
0895-9811	JOURNAL OF SOUTH AMERICAN EARTH SCIENCES	A2
2115-7251	JOURNAL OF SPACE WEATHER AND SPACE CLIMATE	A2
0022-4650	JOURNAL OF SPACECRAFT AND ROCKETS	A3
2314-4920	JOURNAL OF SPECTROSCOPY	B1
1056-6716	JOURNAL OF SPORT REHABILITATION	A4
0022-4707	JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS (TESTO STAMPATO)	A4
1303-2968	JOURNAL OF SPORTS SCIENCE AND MEDICINE	A2
0264-0414	JOURNAL OF SPORTS SCIENCES (PRINT)	A1
0094-9655	JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION (PRINT)	A4
1742-5468	JOURNAL OF STATISTICAL MECHANICS	A2
0022-4715	JOURNAL OF STATISTICAL PHYSICS	A3
1548-7660	JOURNAL OF STATISTICAL SOFTWARE	A1
0973-7154	JOURNAL OF STEMCELLS & REGENERATIVE MEDICINE	B1
2468-7855	JOURNAL OF STOMATOLOGY, ORAL AND MAXILLOFACIAL SURGERY	B2
1533-4287	JOURNAL OF STRENGTH AND CONDITIONING RESEARCH	A2
1052-3057	JOURNAL OF STROKE AND CEREBROVASCULAR DISEASES (PRINT)	A4
0920-8542	JOURNAL OF SUPERCOMPUTING	A2
1557-1939	JOURNAL OF SUPERCONDUCTIVITY AND NOVEL MAGNETISM	B1
0896-8446	JOURNAL OF SUPERCRITICAL FLUIDS	A1
1095-8673	JOURNAL OF SURGICAL RESEARCH	A3
2165-400X	JOURNAL OF SUSTAINABLE BIOENERGY SYSTEMS	B2
1383-7621	JOURNAL OF SYSTEMS ARCHITECTURE	A3
1658-3655	JOURNAL OF TAIBAH UNIVERSITY FOR SCIENCE	B3
0002-7820	JOURNAL OF THE AMERICAN CERAMIC SOCIETY	A1
0731-5724	JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION	A2
1549-4950	JOURNAL OF THE AUDIO ENGINEERING SOCIETY (NEW YORK)	A3
2510-1579	JOURNAL OF THE AUSTRALIAN CERAMIC SOCIETY	A4
0103-5053	JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (IMPRESSO)	A2
2358-2782	JOURNAL OF THE BRAZILIAN COLLEGE OF ORAL AND MAXILLOFACIAL SURGERY	C
0104-6500	JOURNAL OF THE BRAZILIAN COMPUTER SOCIETY (IMPRESSO)	A2
1678-4804	JOURNAL OF THE BRAZILIAN COMPUTER SOCIETY (ONLINE)	A2
1678-5878	JOURNAL OF THE BRAZILIAN SOCIETY OF MECHANICAL SCIENCES AND ENGINEERING (IMPRESSO)	A4
1806-3691	JOURNAL OF THE BRAZILIAN SOCIETY OF MECHANICAL SCIENCES AND ENGINEERING (ONLINE)	A4
0013-4651	JOURNAL OF THE ELECTROCHEMICAL SOCIETY	A1
0016-0032	JOURNAL OF THE FRANKLIN INSTITUTE	A1
2308-0310	JOURNAL OF THE INTERNATIONAL SOCIETY FOR TELEMEDICINE AND EHEALTH	C
1751-6161	JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS (PRINT)	A1
0160-5682	JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY	A2
1084-7529	JOURNAL OF THE OPTICAL SOCIETY OF AMERICA. A, OPTICS, IMAGE SCIENCE, AND VISION	A3
0740-3224	JOURNAL OF THE OPTICAL SOCIETY OF AMERICA. B, OPTICAL PHYSICS	A3
0022-5142	JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE	A2
0038-223X	JOURNAL OF THE SOUTH AFRICAN INSTITUTE OF MINING AND METALLURGY	B3
1429-2955	JOURNAL OF THEORETICAL AND APPLIED MECHANICS (WARSAW)	B1
2050-5736	JOURNAL OF THERAPEUTIC ULTRASOUND	A3
0306-4565	JOURNAL OF THERMAL BIOLOGY	A1
1948-5085	JOURNAL OF THERMAL SCIENCE AND ENGINEERING APPLICATIONS	A3
0892-7057	JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS	A4
0022-5223	JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY (PRINT)	A1
1932-6254	JOURNAL OF TISSUE ENGINEERING AND REGENERATIVE MEDICINE	A2
1479-5876	JOURNAL OF TRANSLATIONAL MEDICINE (ONLINE)	A2
0733-947X	JOURNAL OF TRANSPORTATION ENGINEERING	A3
1195-1982	JOURNAL OF TRAVEL MEDICINE	A1
1923-7324	JOURNAL OF UBIQUITOUS SYSTEMS AND PERVASIVE NETWORKS	B4
0278-4297	JOURNAL OF ULTRASOUND IN MEDICINE	A4
0948-6968	JOURNAL OF UNIVERSAL COMPUTER SCIENCE	A3
0948-695X	JOURNAL OF UNIVERSAL COMPUTER SCIENCE (PRINT)	A3
0734-2101	JOURNAL OF VACUUM SCIENCE & TECHNOLOGY. A. VACUUM, SURFACES, AND FILMS	A3
0734-211X	JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B	C
1071-1023	JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B: MICROELECTRONICS AND NANOMETER STRUCTURES	A4
2166-2746	JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B, NANOTECHNOLOGY & MICROELECTRONICS	A4
1077-5463	JOURNAL OF VIBRATION AND CONTROL	A1
2321-3558	JOURNAL OF VIBRATION ENGINEERING & TECHNOLOGIES	B1
2523-3939	JOURNAL OF VIBRATION ENGINEERING & TECHNOLOGIES	B2
1047-3203	JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION (PRINT)	A1
1940-087X	JOURNAL OF VISUALIZED EXPERIMENTS	B1
0892-1997	JOURNAL OF VOICE	A2
1213-6972	JOURNAL OF WSCG	B3
2447-5033	JOURNAL ON ADVANCES IN THEORETICAL AND APPLIED INFORMATICS	C
2372-8590	JOURNAL ON POLICY AND COMPLEX SYSTEMS (ONLINE)	B4
1383-469X	JOURNAL ON SPECIAL TOPICS IN MOBILE NETWORKS AND APPLICATIONS	A2
2072-1439	JOURNAL THORACIC DISEASE	B1
1647-659X	KAIROS. REVISTA DE FILOSOFIA & CI NCIA	B1
2518-6841	KNE ENGINEERING	B2
0968-0160	KNEE (OXFORD)	A2
0219-3116	KNOWLEDGE AND INFORMATION SYSTEMS (ELECTRONIC RESOURCE)	A2
0219-1377	KNOWLEDGE AND INFORMATION SYSTEMS (PRINT)	A2
0269-8889	KNOWLEDGE ENGINEERING REVIEW (PRINT)	A4
0950-7051	KNOWLEDGE-BASED SYSTEMS	A1
1976-7277	KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS	B2
1473-0197	LAB ON A CHIP (PRINT)	A1
0264-8377	LAND USE POLICY	A1
2367-2587	LASERS IN DENTAL SCIENCE (ONLINE)	B3
0268-8921	LASERS IN MEDICAL SCIENCE	A2
1435-604X	LASERS IN MEDICAL SCIENCE (INTERNET)	A2
0327-0793	LATIN AMERICAN APPLIED RESEARCH	B4
2674-9297	LATIN AMERICAN JOURNAL OF DEVELOPMENT	C
2358-2286	LATIN AMERICAN JOURNAL OF ENERGY RESEARCH	B2
1679-7825	LATIN AMERICAN JOURNAL OF SOLIDS AND STRUCTURES	A3
1679-7817	LATIN AMERICAN JOURNAL OF SOLIDS AND STRUCTURES (IMPRESSO)	A3
1549-5485	LEARNING & MEMORY (COLD SPRING HARBOR ONLINE)	A2
1676-2789	LEARNING AND NONLINEAR MODELS	B2
1570-1808	LETTERS IN DRUG DESIGN & DISCOVERY	B1
1981-3171	LICERE (CENTRO DE ESTUDOS DE LAZER E RECREAÇÃO. ONLINE)	B2
0024-3205	LIFE SCIENCES (1973)	A1
2047-7538	LIGHT: SCIENCE & APPLICATIONS	A1
0024-3795	LINEAR ALGEBRA AND ITS APPLICATIONS	A2
1980-9026	LINHA MESTRA (ASSOCIAÇÃO DE LEITURA DO BRASIL)	B2
1984-7238	LINHAS (FLORIANÓPOLIS. ONLINE)	A2
2358-8411	LINKSCIENCEPLACE	B3
1476-511X	LIPIDS IN HEALTH AND DISEASE	A3
1851-8931	LIS LETRA. IMAGEN. SONIDO. CIUDAD MEDIATIZADA	A4
2040-2589	LITERACY INFORMATION AND COMPUTER EDUCATION JOURNAL (LICEJ)	C
1522-7235	LUMINESCENCE (CHICHESTER, ENGLAND PRINT)	A4
0341-2040	LUNG (NEW YORK)	B1
0961-2033	LUPUS (BASINGSTOKE)	A4
2075-1702	MACHINES	A4
1438-7492	MACROMOLECULAR MATERIALS AND ENGINEERING (PRINT)	A2
1022-1360	MACROMOLECULAR SYMPOSIA	B2
0718-221X	MADERAS. CIENCIA Y TECNOLOGÍA (EN LÍNEA)	A3
0730-725X	MAGNETIC RESONANCE IMAGING	A4
0740-3194	MAGNETIC RESONANCE IN MEDICINE (PRINT)	A1
