Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
14832;5400152628;"Revista Brasileira de Farmacognosia";journal;"0102695X, 1981528X";"Springer Science and Business Media Deutschland GmbH";Yes;Yes;0,377;Q2;68;113;360;6927;747;360;2,04;61,30;45,32;0;Brazil;Latin America;"Springer Science and Business Media Deutschland GmbH";"2007-2026";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2)";"Pharmacology, Toxicology and Pharmaceutics"
14833;34839;"Ulusal Travma ve Acil Cerrahi Dergisi";journal;"1306696X, 13077945";"Turkish Association of Trauma and Emergency Surgery";No;No;0,377;Q2;33;173;600;4382;808;595;1,34;25,33;19,25;0;Turkey;Middle East;"Turkish Association of Trauma and Emergency Surgery";"2003-2004, 2006-2026";"Emergency Medicine (Q2); Anesthesiology and Pain Medicine (Q3); Surgery (Q3)";"Medicine"
14834;16985;"Die Rehabilitation";journal;"14391309, 00343536";"Georg Thieme Verlag";No;No;0,377;Q3;36;62;201;1310;126;131;0,65;21,13;53,95;0;Germany;Western Europe;"Georg Thieme Verlag";"1972-2026";"Rehabilitation (Q3)";"Medicine"
14835;11200153571;"Evolutionary Bioinformatics";journal;"11769343";"Libertas Academica Ltd.";Yes;No;0,377;Q3;42;3;64;188;100;64;1,74;62,67;56,52;0;New Zealand;Pacific Region;"Libertas Academica Ltd.";"2005-2026";"Computer Science Applications (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Genetics (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science"
14836;20796;"Gesundheitswesen";journal;"14394421, 09413790";"Georg Thieme Verlag";No;No;0,377;Q3;47;148;445;2988;336;385;0,77;20,19;53,74;0;Germany;Western Europe;"Georg Thieme Verlag";"1992-2026";"Medicine (miscellaneous) (Q3); Public Health, Environmental and Occupational Health (Q3)";"Medicine"
14837;25260;"Heteroatom Chemistry";journal;"10981071, 10427163";"John Wiley and Sons Inc";Yes;No;0,377;Q3;48;3;8;134;28;8;5,00;44,67;12,50;0;China;Asiatic Region;"John Wiley and Sons Inc";"1990-2023, 2025-2026";"Chemistry (miscellaneous) (Q3)";"Chemistry"
14838;11700154733;"Journal of Biomedical Nanotechnology";journal;"15507041, 15507033";"American Scientific Publishers";No;No;0,377;Q3;99;0;116;0;170;116;0,00;0,00;0,00;0;United States;Northern America;"American Scientific Publishers";"2007-2022";"Biomedical Engineering (Q3); Materials Science (miscellaneous) (Q3); Medicine (miscellaneous) (Q3); Nanoscience and Nanotechnology (Q3); Pharmaceutical Science (Q3); Bioengineering (Q4)";"Chemical Engineering; Engineering; Materials Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
14839;21101193684;"Journal of Disability Studies in Education";journal;"2588879X, 25888803";"Brill Academic Publishers";Yes;Yes;0,377;Q3;7;7;22;517;43;20;1,73;73,86;60,00;0;Netherlands;Western Europe;"Brill Academic Publishers";"2021-2025";"Education (Q3)";"Social Sciences"
14840;21100211340;"Medical Mycology Case Reports";journal;"22117539";"Elsevier B.V.";Yes;No;0,377;Q3;27;66;173;1167;245;171;1,32;17,68;48,94;0;Netherlands;Western Europe;"Elsevier B.V.";"2012-2026";"Infectious Diseases (Q3); Microbiology (Q4)";"Immunology and Microbiology; Medicine"
14841;21101393928;"Renewable Energy Research and Applications";journal;"26767430, 2717252X";"Shahrood University of Technology";No;No;0,377;Q3;10;24;72;988;138;72;2,02;41,17;14,29;0;Iran;Middle East;"Shahrood University of Technology";"2025";"Renewable Energy, Sustainability and the Environment (Q3)";"Energy"
14842;21100469452;"Timing and Time Perception";journal;"2213445X, 22134468";"Brill Academic Publishers";No;No;0,377;Q3;22;24;58;1291;46;56;0,40;53,79;38,16;0;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2026";"Applied Psychology (Q3); Neuropsychology and Physiological Psychology (Q3); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)";"Neuroscience; Psychology"
14843;21101171934;"US Geological Survey Data Report";journal;"27719448";"US Geological Survey";No;No;0,377;Q3;5;13;50;533;36;50;0,70;41,00;31,11;11;United States;Northern America;"US Geological Survey";"2022-2025";"Ecology (Q3); Geology (Q3); Water Science and Technology (Q3)";"Earth and Planetary Sciences; Environmental Science"
14844;21101168870;"Camera Praehistorica";journal;"26586665, 26583828";"Peter the Great Museum of Anthropology and Ethnography (Kunstkamera), Russian Academy of Sciences";No;No;0,376;Q1;5;8;51;434;21;49;0,53;54,25;41,67;0;Russian Federation;Eastern Europe;"Peter the Great Museum of Anthropology and Ethnography (Kunstkamera), Russian Academy of Sciences";"2019-2025";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1)";"Arts and Humanities; Social Sciences"
14845;21100927989;"Oriental Studies";journal;"26191008, 26190990";"Kalmyk Scientific Centre of Russian Academy of Sciences";Yes;No;0,376;Q1;9;87;304;2627;91;304;0,33;30,20;56,45;0;Russian Federation;Eastern Europe;"Kalmyk Scientific Centre of Russian Academy of Sciences";"2013-2025";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1); Linguistics and Language (Q1)";"Arts and Humanities; Social Sciences"
14846;21101133223;"Teosofi: Jurnal Tasawuf dan Pemikiran Islam";journal;"20887957, 2442871X";"Faculty of Ushuluddin and Philosophy, Sunan Ampel State Islamic University Surabaya";Yes;No;0,376;Q1;5;18;48;1071;62;48;1,06;59,50;24,24;0;Indonesia;Asiatic Region;"Faculty of Ushuluddin and Philosophy, Sunan Ampel State Islamic University Surabaya";"2022-2025";"Cultural Studies (Q1); Religious Studies (Q1)";"Arts and Humanities; Social Sciences"
14847;21101043234;"Agricultural Engineering";journal;"24495999, 20831587";"";No;No;0,376;Q2;13;20;68;898;150;68;2,83;44,90;35,96;0;Poland;Eastern Europe;"";"2019-2026";"Agricultural and Biological Sciences (miscellaneous) (Q2); Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q2); Environmental Engineering (Q3)";"Agricultural and Biological Sciences; Engineering; Environmental Science"
14848;21101260414;"Animal - Open space";journal;"27726940";"Elsevier B.V.";No;No;0,376;Q2;9;25;74;612;125;73;1,67;24,48;43,96;0;Netherlands;Western Europe;"Elsevier B.V.";"2022-2026";"Animal Science and Zoology (Q2)";"Agricultural and Biological Sciences"
14849;21101267538;"Geofizicheskiy Zhurnal";journal;"25241052, 02033100";"Subbotin Institute of Geophysics of the National Academy of Sciences of Ukraine (SIG of NASU).";Yes;Yes;0,376;Q2;10;99;158;1997;175;155;1,34;20,17;34,45;0;Ukraine;Eastern Europe;"Subbotin Institute of Geophysics of the National Academy of Sciences of Ukraine (SIG of NASU).";"2010, 2020-2025";"Earth-Surface Processes (Q2); Geology (Q3); Geophysics (Q3)";"Earth and Planetary Sciences"
14850;16904;"International Finance";journal;"13670271, 14682362";"Wiley-Blackwell Publishing Ltd";No;No;0,376;Q2;45;21;50;1041;76;50;1,03;49,57;23,64;1;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2026";"Geography, Planning and Development (Q2); Development (Q3); Finance (Q3)";"Economics, Econometrics and Finance; Social Sciences"
14851;21101088827;"Journal of the ASABE";journal;"27693287, 27693295";"American Society of Agricultural and Biological Engineers";No;No;0,376;Q2;123;88;376;3746;624;376;1,60;42,57;27,76;0;United States;Northern America;"American Society of Agricultural and Biological Engineers";"2022-2026";"Agronomy and Crop Science (Q2); Forestry (Q2); Soil Science (Q2); Biomedical Engineering (Q3); Food Science (Q3)";"Agricultural and Biological Sciences; Engineering"
14852;21100871308;"Plant and Fungal Systematics";journal;"25447459";"W. Szafer Institute of Botany, Polish Academy of Sciences";Yes;Yes;0,376;Q2;24;9;52;447;65;52;1,23;49,67;35,90;0;Poland;Eastern Europe;"W. Szafer Institute of Botany, Polish Academy of Sciences";"2018-2025";"Plant Science (Q2)";"Agricultural and Biological Sciences"
14853;13561;"Revista Chilena de Historia Natural";journal;"0716078X, 07176317";"BioMed Central Ltd";Yes;Yes;0,376;Q2;49;4;29;176;37;27;1,40;44,00;44,44;0;United Kingdom;Western Europe;"BioMed Central Ltd";"2000, 2002-2025";"Agricultural and Biological Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Environmental Science"
14854;21100887437;"South African Journal of Accounting Research";journal;"23763981, 10291954";"Taylor and Francis Ltd.";No;No;0,376;Q2;13;15;38;1057;93;37;2,44;70,47;45,83;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2026";"Business, Management and Accounting (miscellaneous) (Q2); Accounting (Q3)";"Business, Management and Accounting"
14855;21100453523;"Acta Geochimica";journal;"23657499, 20960956";"Science Press";No;No;0,376;Q3;37;111;214;9641;339;213;1,71;86,86;27,87;0;China;Asiatic Region;"Science Press";"2016-2026";"Geochemistry and Petrology (Q3)";"Earth and Planetary Sciences"
14856;145316;"African Health Sciences";journal;"16806905";"Makerere University, Medical School";Yes;No;0,376;Q3;65;139;850;4008;1007;831;0,93;28,83;44,04;0;Uganda;Africa;"Makerere University, Medical School";"2001-2025";"Medicine (miscellaneous) (Q3)";"Medicine"
14857;17922;"Cryptogamie, Mycologie";journal;"01811584";"A.D.A.C.";No;No;0,376;Q3;38;6;27;328;39;27;1,41;54,67;50,00;0;France;Western Europe;"A.D.A.C.";"1990-1993, 1995-2025";"Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
14858;19700182115;"Education as Change";journal;"19479417, 16823206";"Unisa Press";Yes;No;0,376;Q3;25;0;71;0;155;62;2,33;0,00;0,00;0;South Africa;Africa;"Unisa Press";"2008-2024, 2026";"Education (Q3)";"Social Sciences"
14859;15238;"Iranian Biomedical Journal";journal;"2008823X, 1028852X";"Pasteur Institute of Iran";Yes;Yes;0,376;Q3;45;40;129;1800;208;128;1,52;45,00;43,33;0;Iran;Middle East;"Pasteur Institute of Iran";"1999-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Biochemistry (medical) (Q3); Clinical Biochemistry (Q3)";"Biochemistry, Genetics and Molecular Biology; Medicine"
14860;22543;"Journal of Crustacean Biology";journal;"1937240X, 02780372";"Brill Academic Publishers";No;No;0,376;Q3;66;74;223;4200;280;223;1,34;56,76;32,00;0;Netherlands;Western Europe;"Brill Academic Publishers";"1984, 1992-2026";"Aquatic Science (Q3)";"Agricultural and Biological Sciences"
14861;23872;"Journal of Difference Equations and Applications";journal;"15635120, 10236198";"Taylor and Francis Ltd.";No;No;0,376;Q3;54;80;231;2297;241;223;1,10;28,71;33,12;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-1996, 1998-2026";"Algebra and Number Theory (Q3); Analysis (Q3); Applied Mathematics (Q3)";"Mathematics"
14862;26952;"Journal of Dispersion Science and Technology";journal;"15322351, 01932691";"Taylor and Francis Ltd.";No;No;0,376;Q3;71;415;746;22447;1830;746;2,39;54,09;37,69;0;United States;Northern America;"Taylor and Francis Ltd.";"1980-2026";"Physical and Theoretical Chemistry (Q3); Polymers and Plastics (Q3); Surfaces, Coatings and Films (Q3)";"Chemistry; Materials Science"
14863;21101087219;"Journal of Illicit Economies and Development";journal;"25167227";"LSE Press";Yes;Yes;0,376;Q3;14;16;71;727;101;63;0,90;45,44;38,10;2;United Kingdom;Western Europe;"LSE Press";"2019-2025";"Development (Q3)";"Social Sciences"
14864;21100400818;"Practical Laboratory Medicine";journal;"23525517";"Elsevier B.V.";Yes;No;0,376;Q3;25;65;177;2186;284;173;1,54;33,63;45,41;0;Netherlands;Western Europe;"Elsevier B.V.";"2015-2026";"Clinical Biochemistry (Q3); Radiological and Ultrasound Technology (Q3)";"Biochemistry, Genetics and Molecular Biology; Health Professions"
14865;19375;"Water SA";journal;"18167950, 03784738";"South African Water Research Commission";Yes;Yes;0,376;Q3;75;34;125;1710;191;125;1,42;50,29;37,65;0;South Africa;Africa;"South African Water Research Commission";"1976-2026";"Applied Microbiology and Biotechnology (Q3); Management, Monitoring, Policy and Law (Q3); Waste Management and Disposal (Q3); Water Science and Technology (Q3)";"Environmental Science; Immunology and Microbiology"
14866;21100784265;"Ius Canonicum";journal;"0021325X, 22546219";"Servicio de Publicaciones de la Universidad de Navarra";Yes;No;0,375;Q1;7;23;77;1318;23;69;0,30;57,30;30,77;0;Spain;Western Europe;"Servicio de Publicaciones de la Universidad de Navarra";"2016-2025";"Religious Studies (Q1); Law (Q2)";"Arts and Humanities; Social Sciences"
14867;5700152857;"Mind, Culture, and Activity";journal;"10749039, 15327884";"Taylor and Francis Ltd.";No;No;0,375;Q1;69;0;72;0;115;61;0,94;0,00;0,00;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2024";"Anthropology (Q1); Cultural Studies (Q1); Linguistics and Language (Q1); Developmental and Educational Psychology (Q3); Education (Q3); Social Psychology (Q3); Cognitive Neuroscience (Q4)";"Neuroscience; Psychology; Social Sciences"
14868;21100348975;"Studia Historica Slovenica";journal;"15808122";"Zgodovinsko Drustvo Dr. Franca Kovacica v Mariboru";No;No;0,375;Q1;12;20;65;979;58;65;0,81;48,95;40,00;0;Slovenia;Eastern Europe;"Zgodovinsko Drustvo Dr. Franca Kovacica v Mariboru";"2002-2003, 2006-2025";"History (Q1); Social Sciences (miscellaneous) (Q2)";"Arts and Humanities; Social Sciences"
14869;24090;"Acta Ethologica";journal;"14379546, 08739749";"Springer Science and Business Media Deutschland GmbH";No;No;0,375;Q2;40;23;67;1145;93;66;1,33;49,78;38,16;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1998-2026";"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences"
14870;21100211753;"Asian Myrmecology";journal;"19851944";"International Network for the Study of Asian Ants";Yes;No;0,375;Q2;19;9;23;530;28;23;1,00;58,89;15,15;0;Malaysia;Asiatic Region;"International Network for the Study of Asian Ants";"2008-2011, 2013-2025";"Insect Science (Q2); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences; Environmental Science"
14871;19700188217;"Bioanalysis";journal;"17576180, 17576199";"Taylor and Francis Ltd.";No;No;0,375;Q2;77;155;371;6848;676;321;1,82;44,18;42,71;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2026";"Medical Laboratory Technology (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Analytical Chemistry (Q3); Clinical Biochemistry (Q3); Medicine (miscellaneous) (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Health Professions; Medicine; Pharmacology, Toxicology and Pharmaceutics"
14872;13841;"Brazilian Journal of Biology";journal;"15196984, 16784375";"Instituto Internacional de Ecologia";Yes;No;0,375;Q2;68;435;1585;19469;2772;1485;1,74;44,76;45,11;0;Brazil;Latin America;"Instituto Internacional de Ecologia";"2000-2026";"Agricultural and Biological Sciences (miscellaneous) (Q2)";"Agricultural and Biological Sciences"
14873;21101317176;"Chips";journal;"26740729";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,375;Q2;9;52;51;2562;112;48;2,42;49,27;16,67;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2022-2025";"Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Materials Science (miscellaneous) (Q3)";"Computer Science; Engineering; Materials Science"
14874;17400154818;"ERA Forum";journal;"16123093, 18639038";"Springer Verlag";No;No;0,375;Q2;19;42;118;732;195;106;1,38;17,43;45,00;1;Germany;Western Europe;"Springer Verlag";"2009-2026";"Law (Q2); Political Science and International Relations (Q2)";"Social Sciences"
14875;19700186865;"International Journal of Computer Games Technology";journal;"16877047, 16877055";"John Wiley and Sons Ltd";Yes;No;0,375;Q2;27;8;21;541;74;21;4,06;67,63;33,33;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2009-2025";"Computer Graphics and Computer-Aided Design (Q2); Human-Computer Interaction (Q3); Software (Q3)";"Computer Science"
14876;21100972446;"International Journal of Sociology";journal;"15579336";"Taylor and Francis Ltd.";No;No;0,375;Q2;18;22;68;1403;116;65;1,36;63,77;46,51;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2001, 2016, 2019-2026";"Social Sciences (miscellaneous) (Q2)";"Social Sciences"
14877;13931;"Journal of Property Research";journal;"14664453, 09599916";"Routledge";No;No;0,375;Q2;43;22;48;1209;161;48;2,00;54,95;28,57;1;United Kingdom;Western Europe;"Routledge";"1991-2026";"Geography, Planning and Development (Q2); Urban Studies (Q2)";"Social Sciences"
14878;24485;"Lithology and Mineral Resources";journal;"00244902, 16083229";"Pleiades Publishing";No;No;0,375;Q2;26;43;118;2494;109;118;0,88;58,00;44,35;0;United States;Northern America;"Pleiades Publishing";"1984-1986, 1992, 2004-2026";"Economic Geology (Q2); Geochemistry and Petrology (Q3)";"Earth and Planetary Sciences"
14879;21100888550;"Mediterranean Botany";journal;"26039109";"Universidad Complutense Madrid";Yes;Yes;0,375;Q2;21;19;65;1060;69;64;0,90;55,79;27,85;0;Spain;Western Europe;"Universidad Complutense Madrid";"2018-2025";"Plant Science (Q2); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences; Environmental Science"
14880;5800191628;"Netherlands International Law Review";journal;"0165070X, 17416191";"Springer Nature";No;No;0,375;Q2;27;10;57;728;72;51;1,32;72,80;16,67;1;Switzerland;Western Europe;"Springer Nature";"1953, 1955-2026";"Law (Q2)";"Social Sciences"
14881;21100887525;"New Educator";journal;"15499243";"Taylor and Francis Ltd.";No;No;0,375;Q2;29;23;53;1293;79;44;1,34;56,22;62,96;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2026";"Sociology and Political Science (Q2); Education (Q3)";"Social Sciences"
14882;23257;"New Zealand Journal of Zoology";journal;"03014223";"Taylor and Francis Ltd.";No;No;0,375;Q2;42;57;66;3136;83;62;1,28;55,02;44,64;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1974-2025";"Animal Science and Zoology (Q2)";"Agricultural and Biological Sciences"
14883;21100867253;"Plant Breeding and Biotechnology";journal;"22879358, 22879366";"Korean Society of Breeding Science";No;No;0,375;Q2;17;22;65;827;128;65;1,31;37,59;37,50;0;South Korea;Asiatic Region;"Korean Society of Breeding Science";"2015, 2018-2025";"Plant Science (Q2); Biotechnology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
14884;6100153019;"Service Oriented Computing and Applications";journal;"18632386, 18632394";"Springer London";No;No;0,375;Q2;34;63;89;2139;215;80;2,78;33,95;33,14;0;United Kingdom;Western Europe;"Springer London";"2007-2025";"Management Information Systems (Q2); Hardware and Architecture (Q3); Information Systems (Q3); Software (Q3)";"Business, Management and Accounting; Computer Science"
14885;144682;"South African Family Practice";journal;"20786204, 20786190";"AOSIS (Pty) Ltd";Yes;No;0,375;Q2;29;59;278;1651;301;243;0,95;27,98;49,48;0;South Africa;Africa;"AOSIS (Pty) Ltd";"2000-2026";"Family Practice (Q2); Public Health, Environmental and Occupational Health (Q3)";"Medicine"
14886;23359;"Bioremediation Journal";journal;"15476529, 10889868";"Taylor and Francis Ltd.";No;No;0,375;Q3;47;114;137;7394;273;68;1,83;64,86;48,20;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2026";"Environmental Science (miscellaneous) (Q3)";"Environmental Science"
14887;5900153306;"BioResources";journal;"19302126";"North Carolina State University";Yes;No;0,375;Q3;111;644;1607;28545;3570;1562;2,25;44,32;36,74;0;United States;Northern America;"North Carolina State University";"2007-2026";"Environmental Engineering (Q3); Waste Management and Disposal (Q3); Bioengineering (Q4)";"Chemical Engineering; Environmental Science"
14888;21087;"Digestive Surgery";journal;"14219883, 02534886";"S. Karger AG";No;No;0,375;Q3;83;38;91;1110;107;89;1,16;29,21;24,07;1;Switzerland;Western Europe;"S. Karger AG";"1984-2025";"Gastroenterology (Q3); Surgery (Q3)";"Medicine"
14889;21100206280;"Ensenanza de las Ciencias";journal;"02124521, 21746486";"Universitat Autonoma de Barcelona";Yes;Yes;0,375;Q3;25;17;84;784;117;81;1,18;46,12;62,22;0;Spain;Western Europe;"Universitat Autonoma de Barcelona";"2009-2025";"Education (Q3)";"Social Sciences"
14890;25256;"European Journal of Inorganic Chemistry";journal;"10990682, 14341948";"Wiley-VCH Verlag";No;No;0,375;Q3;153;371;1183;23058;2013;1168;1,65;62,15;31,52;0;Germany;Western Europe;"Wiley-VCH Verlag";"1877-1878, 1882-1891, 1894-1897, 1902, 1904, 1906, 1911, 1915, 1917, 1919-1944, 1962-1963, 1975, 1977-1985, 1987-1988, 1990-1994, 1996-2026";"Inorganic Chemistry (Q3)";"Chemistry"
14891;25476;"Intelligent Automation and Soft Computing";journal;"10798587, 2326005X";"Tech Science Press";No;No;0,375;Q3;45;11;1206;514;2860;1206;2,32;46,73;18,60;0;United States;Northern America;"Tech Science Press";"1995-2025";"Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Software (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics"
14892;21100241790;"International Journal of Differential Equations";journal;"16879651, 16879643";"John Wiley and Sons Ltd";Yes;No;0,375;Q3;32;25;52;1012;84;52;1,72;40,48;23,33;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2010-2026";"Analysis (Q3); Applied Mathematics (Q3)";"Mathematics"
14893;21101038736;"International Marine Energy Journal";journal;"26315548";"European Wave and Tidal Energy Conference";Yes;Yes;0,375;Q3;12;47;48;1219;74;47;0,82;25,94;22,12;0;United Kingdom;Western Europe;"European Wave and Tidal Energy Conference";"2018-2025";"Ocean Engineering (Q3); Oceanography (Q3); Renewable Energy, Sustainability and the Environment (Q3)";"Earth and Planetary Sciences; Energy; Engineering"
14894;14894;"Journal of Biological Physics";journal;"15730689, 00920606";"Springer Science and Business Media B.V.";No;No;0,375;Q3;55;29;70;1402;167;70;2,43;48,34;37,08;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1973-1993, 1995-1997, 1999-2026";"Atomic and Molecular Physics, and Optics (Q3); Biophysics (Q3); Cell Biology (Q4); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy"
14895;144926;"Journal of Computational Electronics";journal;"15728137, 15698025";"Springer";No;No;0,375;Q3;57;206;413;8455;1201;411;3,06;41,04;26,26;0;United States;Northern America;"Springer";"2002-2026";"Atomic and Molecular Physics, and Optics (Q3); Electrical and Electronic Engineering (Q3); Electronic, Optical and Magnetic Materials (Q3); Modeling and Simulation (Q3)";"Engineering; Materials Science; Mathematics; Physics and Astronomy"
14896;19600166323;"Journal of Parasitic Diseases";journal;"09717196, 09750703";"Springer";No;No;0,375;Q3;40;138;300;7009;492;300;1,32;50,79;45,02;0;India;Asiatic Region;"Springer";"2009-2026";"Parasitology (Q3)";"Immunology and Microbiology"
14897;19900191849;"Journal of Physical Education and Sport";journal;"22478051, 2247806X";"Editura Universitatii din Pitesti";Yes;No;0,375;Q3;43;176;1128;6638;1523;1128;1,45;37,72;37,38;0;Romania;Eastern Europe;"Editura Universitatii din Pitesti";"2011-2025";"Physical Therapy, Sports Therapy and Rehabilitation (Q3); Sports Science (Q4)";"Health Professions"
14898;21055;"Materials Science-Poland";journal;"20831331, 2083134X";"Sciendo";Yes;No;0,375;Q3;48;49;147;2032;349;147;2,32;41,47;27,78;0;Germany;Western Europe;"Sciendo";"2002-2025";"Condensed Matter Physics (Q3); Materials Science (miscellaneous) (Q3); Mechanical Engineering (Q3); Mechanics of Materials (Q3)";"Engineering; Materials Science; Physics and Astronomy"
14899;21100853513;"Pharmaceutical Nanotechnology";journal;"22117385, 22117393";"Bentham Science Publishers";No;No;0,375;Q3;27;117;112;12245;338;108;2,95;104,66;43,72;0;United Arab Emirates;Middle East;"Bentham Science Publishers";"2014-2026";"Biomedical Engineering (Q3); Pharmaceutical Science (Q3)";"Engineering; Pharmacology, Toxicology and Pharmaceutics"
14900;25303;"Polyhedron";journal;"02775387";"Elsevier Ltd";No;No;0,375;Q3;116;376;1243;22692;3302;1241;2,93;60,35;35,64;0;United Kingdom;Western Europe;"Elsevier Ltd";"1982-2026";"Inorganic Chemistry (Q3); Materials Chemistry (Q3); Physical and Theoretical Chemistry (Q3)";"Chemistry; Materials Science"
14901;19500157076;"Reaction Kinetics, Mechanisms and Catalysis";journal;"18785204, 18785190";"Springer Science and Business Media B.V.";No;No;0,375;Q3;53;272;588;12430;1317;583;2,34;45,70;41,63;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2010-2026";"Catalysis (Q3); Physical and Theoretical Chemistry (Q3)";"Chemical Engineering; Chemistry"
14902;21101133224;"Separation Science Plus";journal;"25731815";"John Wiley and Sons Inc";No;No;0,375;Q3;18;198;291;7392;784;291;2,90;37,33;39,56;0;United States;Northern America;"John Wiley and Sons Inc";"2018-2026";"Analytical Chemistry (Q3); Filtration and Separation (Q4)";"Chemical Engineering; Chemistry"
14903;7200153192;"Taiwania";journal;"0372333X";"National Taiwan University (IEEB)";Yes;No;0,375;Q3;26;87;212;3071;235;197;1,11;35,30;29,41;0;Taiwan;Asiatic Region;"National Taiwan University (IEEB)";"2007-2026";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)";"Agricultural and Biological Sciences; Environmental Science"
14904;21101361110;"Therapeutic Advances in Pulmonary and Critical Care Medicine";journal;"29768675";"SAGE Publications Ltd";No;No;0,375;Q3;25;10;32;466;66;30;3,11;46,60;25,00;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2023-2025";"Cardiology and Cardiovascular Medicine (Q3); Pulmonary and Respiratory Medicine (Q3)";"Medicine"
14905;5700181946;"Babel";journal;"05219744, 15699668";"John Benjamins Publishing Company";No;No;0,374;Q1;24;42;107;1723;123;107;1,08;41,02;59,38;0;Netherlands;Western Europe;"John Benjamins Publishing Company";"1955-1971, 1973-1985, 1987-1990, 1995-2026";"Linguistics and Language (Q1); Communication (Q2)";"Social Sciences"
14906;21100286340;"Discourse and Interaction";journal;"18029930, 1805952X";"Masarykova Universita";No;No;0,374;Q1;11;12;39;497;41;38;0,96;41,42;75,00;0;Czech Republic;Eastern Europe;"Masarykova Universita";"2013-2025";"Linguistics and Language (Q1)";"Social Sciences"
14907;15556;"Financial History Review";journal;"09685650, 14740052";"Cambridge University Press";No;No;0,374;Q1;24;19;35;1180;27;35;0,83;62,11;19,35;0;United Kingdom;Western Europe;"Cambridge University Press";"1994-1999, 2003-2026";"History (Q1); Finance (Q3)";"Arts and Humanities; Economics, Econometrics and Finance"
14908;21100200645;"International Journal of Language Studies";journal;"21574901, 21574898";"Lulu Press Inc";No;No;0,374;Q1;16;30;86;1418;123;80;1,47;47,27;71,79;0;United States;Northern America;"Lulu Press Inc";"2018-2026";"Linguistics and Language (Q1)";"Social Sciences"
14909;29448;"Review of Radical Political Economics";journal;"04866134, 15528502";"SAGE Publications Inc.";No;No;0,374;Q1;47;67;112;3154;151;105;1,27;47,07;34,15;0;United States;Northern America;"SAGE Publications Inc.";"1969-2026";"Philosophy (Q1); Economics and Econometrics (Q3)";"Arts and Humanities; Economics, Econometrics and Finance"
14910;21100829150;"Taiwan Journal of TESOL";journal;"18149448, 20767617";"Crane Publishing Co.";No;No;0,374;Q1;10;9;27;445;44;26;0,81;49,44;47,06;0;Taiwan;Asiatic Region;"Crane Publishing Co.";"2017-2025";"Linguistics and Language (Q1); Education (Q3)";"Social Sciences"
